Participant_ID,Folder,File,MOS_Technical,MOS_Semantic
5UAXFAD1,41,pgd.wav,4,5
5UAXFAD1,5,waveform.wav,1,1
5UAXFAD1,5,tts.wav,5,5
5UAXFAD1,52,smack.wav,1,1
5UAXFAD1,72,waveform.wav,1,1
5UAXFAD1,57,smack.wav,1,2
5UAXFAD1,28,harvard_audio.wav,5,3
5UAXFAD1,41,smack.wav,1,1
5UAXFAD1,52,waveform.wav,1,1
5UAXFAD1,8,tts.wav,5,2
5UAXFAD1,28,waveform.wav,4,3
5UAXFAD1,45,smack.wav,1,1
5UAXFAD1,70,waveform.wav,1,1
77S8SULI,41,smack.wav,2,2
77S8SULI,5,tts.wav,5,4
77S8SULI,57,smack.wav,2,2
77S8SULI,45,waveform.wav,1,1
77S8SULI,5,smack.wav,3,2
77S8SULI,72,tts.wav,5,4
77S8SULI,87,pgd.wav,3,5
77S8SULI,57,tts.wav,5,3
77S8SULI,8,harvard_audio.wav,5,4
77S8SULI,87,harvard_audio.wav,5,5
77S8SULI,52,pgd.wav,3,5
77S8SULI,45,smack.wav,1,1
77S8SULI,70,pgd.wav,4,5
77S8SULI,70,smack.wav,1,2
77S8SULI,8,pgd.wav,5,5
77S8SULI,5,harvard_audio.wav,5,5
77S8SULI,87,waveform.wav,1,1
77S8SULI,28,smack.wav,1,1
77S8SULI,41,pgd.wav,3,5
77S8SULI,45,pgd.wav,4,4
77S8SULI,72,harvard_audio.wav,5,4
77S8SULI,8,smack.wav,1,4
77S8SULI,28,waveform.wav,2,3
77S8SULI,70,waveform.wav,1,1
77S8SULI,8,waveform.wav,2,3
77S8SULI,70,tts.wav,5,3
77S8SULI,72,waveform.wav,1,1
77S8SULI,87,tts.wav,5,3
77S8SULI,57,pgd.wav,4,4
77S8SULI,41,waveform.wav,1,1
77S8SULI,57,harvard_audio.wav,5,4
77S8SULI,5,waveform.wav,1,1
77S8SULI,28,pgd.wav,3,3
77S8SULI,72,smack.wav,1,1
77S8SULI,52,smack.wav,1,2
77S8SULI,70,harvard_audio.wav,5,5
77S8SULI,5,pgd.wav,4,5
77S8SULI,8,tts.wav,5,5
77S8SULI,52,harvard_audio.wav,5,5
77S8SULI,87,smack.wav,1,2
77S8SULI,45,harvard_audio.wav,5,5
77S8SULI,57,waveform.wav,1,1
77S8SULI,28,harvard_audio.wav,5,3
77S8SULI,41,harvard_audio.wav,5,5
77S8SULI,28,tts.wav,5,4
77S8SULI,52,waveform.wav,1,1
77S8SULI,52,tts.wav,5,4
77S8SULI,41,tts.wav,5,4
77S8SULI,45,tts.wav,5,4
77S8SULI,72,pgd.wav,3,4
H1TZM7XH,41,pgd.wav,3,3
H1TZM7XH,8,waveform.wav,2,1
H1TZM7XH,52,tts.wav,5,4
H1TZM7XH,70,harvard_audio.wav,5,5
H1TZM7XH,72,smack.wav,1,1
H1TZM7XH,41,harvard_audio.wav,4,3
H1TZM7XH,5,tts.wav,4,2
H1TZM7XH,41,waveform.wav,1,1
H1TZM7XH,52,pgd.wav,3,3
H1TZM7XH,45,pgd.wav,2,3
H1TZM7XH,28,tts.wav,3,2
H1TZM7XH,28,smack.wav,1,1
H1TZM7XH,70,waveform.wav,1,1
H1TZM7XH,5,smack.wav,1,1
H1TZM7XH,28,harvard_audio.wav,4,3
H1TZM7XH,70,pgd.wav,4,4
H1TZM7XH,45,tts.wav,5,5
H1TZM7XH,45,smack.wav,2,1
H1TZM7XH,52,smack.wav,1,1
H1TZM7XH,57,waveform.wav,1,1
H1TZM7XH,45,harvard_audio.wav,5,5
H1TZM7XH,87,smack.wav,1,1
H1TZM7XH,8,harvard_audio.wav,4,2
H1TZM7XH,72,harvard_audio.wav,5,4
H1TZM7XH,41,smack.wav,1,1
H1TZM7XH,87,pgd.wav,5,5
H1TZM7XH,57,tts.wav,4,2
H1TZM7XH,70,tts.wav,4,3
H1TZM7XH,5,waveform.wav,1,1
H1TZM7XH,52,waveform.wav,1,1
H1TZM7XH,57,pgd.wav,4,3
H1TZM7XH,87,waveform.wav,1,1
H1TZM7XH,72,waveform.wav,1,1
H1TZM7XH,57,harvard_audio.wav,4,2
H1TZM7XH,70,smack.wav,1,1
H1TZM7XH,41,tts.wav,5,5
H1TZM7XH,8,pgd.wav,4,2
H1TZM7XH,87,tts.wav,4,5
H1TZM7XH,52,harvard_audio.wav,5,5
H1TZM7XH,72,pgd.wav,5,4
H1TZM7XH,57,smack.wav,1,1
H1TZM7XH,72,tts.wav,5,4
H1TZM7XH,45,waveform.wav,1,1
H1TZM7XH,8,tts.wav,5,3
H1TZM7XH,28,waveform.wav,2,2
H1TZM7XH,28,pgd.wav,3,3
H1TZM7XH,5,pgd.wav,4,5
H1TZM7XH,87,harvard_audio.wav,5,5
H1TZM7XH,5,harvard_audio.wav,5,5
H1TZM7XH,8,smack.wav,1,2
XIMPEOVO,8,tts.wav,5,2
XIMPEOVO,5,harvard_audio.wav,5,5
XIMPEOVO,70,waveform.wav,1,1
XIMPEOVO,57,waveform.wav,1,1
XIMPEOVO,70,harvard_audio.wav,5,4
XIMPEOVO,52,waveform.wav,1,1
XIMPEOVO,41,harvard_audio.wav,5,5
XIMPEOVO,5,waveform.wav,1,1
XIMPEOVO,72,tts.wav,5,5
XIMPEOVO,5,pgd.wav,5,5
XIMPEOVO,45,harvard_audio.wav,5,2
XIMPEOVO,52,harvard_audio.wav,5,4
XIMPEOVO,5,smack.wav,1,1
XIMPEOVO,70,tts.wav,4,4
